Country,Region,Population,Infant_Mortality,GDP_per_capita
Hungary ,EASTERN EUROPE                     ,9981334,"8,57",13900
Iceland ,WESTERN EUROPE                     ,299388,"3,31",30900
India ,ASIA (EX. NEAR EAST)         ,1095351995,"56,29",2900
Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,"35,6",3200
Iran ,ASIA (EX. NEAR EAST)         ,68688433,"41,58",7000
Iraq ,NEAR EAST                          ,26783383,"50,25",1500
Ireland ,WESTERN EUROPE                     ,4062235,"5,39",29600
Isle of Man ,WESTERN EUROPE                     ,75441,"5,93",21000
Israel ,NEAR EAST                          ,6352117,"7,03",19800
Italy ,WESTERN EUROPE                     ,58133509,"5,94",26700
Jamaica ,LATIN AMER. & CARIB    ,2758124,"12,36",3900
Japan ,ASIA (EX. NEAR EAST)         ,127463611,"3,26",28200
Jersey ,WESTERN EUROPE                     ,91084,"5,24",24800
Jordan ,NEAR EAST                          ,5906760,"17,35",4300
Kazakhstan ,C.W. OF IND. STATES ,15233244,"29,21",6300
Kenya ,SUB-SAHARAN AFRICA                 ,34707817,"61,47",1000
Kiribati ,OCEANIA                            ,105432,"48,52",800
"Korea, North ",ASIA (EX. NEAR EAST)         ,23113019,"24,04",1300
"Korea, South ",ASIA (EX. NEAR EAST)         ,48846823,"7,05",17800
Kuwait ,NEAR EAST                          ,2418393,"9,95",19000
Kyrgyzstan ,C.W. OF IND. STATES ,5213898,"35,64",1600
Laos ,ASIA (EX. NEAR EAST)         ,6368481,"85,22",1700
Latvia ,BALTICS                            ,2274735,"9,55",10200
Lebanon ,NEAR EAST                          ,3874050,"24,52",4800
Lesotho ,SUB-SAHARAN AFRICA                 ,2022331,"84,23",3000
Liberia ,SUB-SAHARAN AFRICA                 ,3042004,"128,87",1000
Libya ,NORTHERN AFRICA                    ,5900754,"24,6",6400
Liechtenstein ,WESTERN EUROPE                     ,33987,"4,7",25000
Lithuania ,BALTICS                            ,3585906,"6,89",11400
Luxembourg ,WESTERN EUROPE                     ,474413,"4,81",55100
Macau ,ASIA (EX. NEAR EAST)         ,453125,"4,39",19400
Macedonia ,EASTERN EUROPE                     ,2050554,"10,09",6700
Madagascar ,SUB-SAHARAN AFRICA                 ,18595469,"76,83",800
Malawi ,SUB-SAHARAN AFRICA                 ,13013926,"103,32",600
